timestamp,result,our_side,opponent,sequence_len,solve_samples,solve_total_sec
2026-03-15 03:17:19,win,2,NUEVAYoL,22,11,0.863
2026-03-15 03:18:29,win,1,Henri,39,20,0.924
2026-03-15 03:22:19,win,2,,16,8,1.167
2026-03-15 03:26:03,win,2,kousi,12,6,4.076
2026-03-15 03:30:37,win,1,Lulu54,23,12,9.468
2026-03-15 03:31:21,win,1,ElGuille,19,10,1.011
2026-03-15 03:32:44,win,1,,17,9,38.423
2026-03-15 04:00:15,win,1,Lidaf,15,8,0.320
2026-03-15 04:02:49,win,1,Thuy,31,16,7.626
2026-03-15 04:08:54,win,2,Umair,22,11,3.341
2026-03-15 04:12:36,win,1,Mr. stabby,29,15,15.074
2026-03-15 04:13:41,win,2,Nick,30,15,0.593
2026-03-15 04:15:33,win,2,SuzyB,32,16,1.407
2026-03-15 04:16:14,win,2,Andy,20,10,0.954
2026-03-15 04:23:34,win,1,Floyd,13,7,0.476
2026-03-15 04:24:31,win,2,kazak,28,14,0.760
2026-03-15 04:25:43,win,1,KingK4ng,15,8,34.765
2026-03-15 04:27:23,win,1,Anas Naouali,29,15,13.561
2026-03-15 04:28:14,win,1,Del,23,12,3.072
2026-03-15 04:29:20,win,1,Dfx,25,13,13.600
2026-03-15 04:30:23,win,1,Andrew,9,5,0.633
2026-03-15 04:31:06,win,2,Lor,20,10,1.308
2026-03-15 04:32:29,win,2,,22,11,1.923
2026-03-15 04:33:05,win,1,Ririiiii,17,9,0.635
2026-03-15 04:33:31,win,2,Del,12,6,0.780
2026-03-15 04:34:23,win,2,Merv,18,9,1.985
2026-03-15 04:36:22,win,2,aya,26,13,1.204
2026-03-15 04:37:24,win,2,BANGJAGO,32,16,1.137
2026-03-15 04:38:19,win,2,Vlk,22,11,10.566
2026-03-15 04:39:28,loss,2,Marknado,41,20,0.958
2026-03-15 04:40:08,win,1,bibi,15,8,0.382
2026-03-15 04:41:29,win,1,Squale,29,15,38.358
2026-03-15 04:42:15,win,1,Hoppala,17,9,2.007
2026-03-15 04:43:08,win,2,JaySlay,38,19,1.349
2026-03-15 04:43:36,win,1,kev,15,8,0.450
2026-03-15 04:44:31,loss,2,Mr. stabby,41,20,0.493
2026-03-15 04:45:41,win,2,Nelson21,32,16,4.769
2026-03-15 04:46:44,win,2,Edu,22,11,0.408
2026-03-15 04:47:46,loss,1,EvilR81,6,4,40.535
2026-03-15 04:50:47,win,2,k2,38,19,1.384
2026-03-15 04:51:24,win,2,Tony,28,14,0.550
2026-03-15 04:54:32,win,1,lii,39,20,13.771
2026-03-15 04:55:12,win,2,Marl,14,7,1.143
2026-03-15 04:57:06,win,2,,24,12,1.426
2026-03-15 04:57:48,win,2,Tony,16,8,0.379
2026-03-15 04:58:47,win,1,Ruruts,23,12,2.907
2026-03-15 05:00:39,win,2,Sumit,30,15,1.168
2026-03-15 05:01:50,win,1,bear,31,16,6.851
2026-03-15 05:02:41,win,2,Gemma,32,16,0.833
2026-03-15 05:03:23,win,1,,25,13,8.435
2026-03-15 05:04:50,win,1,Did,27,14,12.556
2026-03-15 05:06:14,win,1,Tsip,25,13,1.435
2026-03-15 05:07:07,win,2,577yy,0,0,0.000
2026-03-15 05:08:03,win,1,Andy,21,11,10.761
2026-03-15 05:10:13,win,1,EvilR81,41,21,33.275
2026-03-15 05:11:12,win,1,15 March,23,12,11.460
2026-03-15 05:11:49,win,2,IMO,20,10,5.133
2026-03-15 05:13:22,win,1,jacj,29,15,1.104
2026-03-15 05:14:39,win,2,Jjj,20,10,0.854
2026-03-15 05:15:21,win,1,have a little taste,27,14,7.498
2026-03-15 05:16:46,win,2,TommysDad,36,18,21.554
2026-03-15 05:17:28,win,1,bibi,17,9,0.413
2026-03-15 05:18:16,win,1,lucky25,21,11,0.900
2026-03-15 05:18:57,win,1,Boum_bd,11,6,2.506
2026-03-15 05:19:36,win,1,who it,21,11,7.269
2026-03-15 05:20:55,win,1,MahomesX15,33,17,9.537
2026-03-15 05:22:27,win,1,AI bot,35,18,38.308
2026-03-15 11:07:11,win,1,Cool Guy,17,9,2.967
2026-03-15 11:08:13,win,2,MRIT,26,13,1.504
2026-03-15 11:09:53,win,2,Bel,30,15,0.864
2026-03-15 11:11:25,win,1,Yoh,21,11,1.956
2026-03-15 11:12:26,loss,2,Alfie Moon,41,20,0.827
2026-03-15 11:13:15,win,2,Pubilu,22,11,5.160
2026-03-15 11:14:01,win,2,angel 77,16,8,4.412
2026-03-15 11:15:35,win,1,Brandon Kimbrough,27,14,10.814
2026-03-15 11:16:18,win,1,,15,8,0.385
2026-03-15 11:17:27,win,1,Harry Potter,39,20,0.997
2026-03-15 11:18:36,win,1,Ilovemydog,27,14,19.902
2026-03-15 11:19:38,win,2,Bad chic,34,17,0.398
2026-03-15 11:20:16,win,1,Guest Ardene,13,7,8.874
2026-03-15 11:21:21,win,1,Yur,27,14,14.773
2026-03-15 11:22:25,win,1,DiiNii,33,17,8.124
2026-03-15 11:24:46,win,1,straight man,37,19,37.865
2026-03-15 11:26:24,win,1,abc,19,10,6.610
2026-03-15 11:27:55,win,2,dsf,36,18,16.532
2026-03-15 11:30:00,win,1,Andy,33,17,42.567
2026-03-15 11:32:27,win,1,Yummy,39,20,2.308
2026-03-15 11:32:55,win,1,Pete,11,6,0.086
2026-03-15 11:33:57,win,2,just sleepy mee,36,18,12.473
2026-03-15 11:34:31,win,1,grin,15,8,1.561
2026-03-15 11:35:37,win,1,RooZ,37,19,2.328
2026-03-15 11:37:29,win,2,hbhhhh,34,17,2.571
2026-03-15 11:38:47,win,1,Dewey,27,14,15.137
2026-03-15 11:40:24,win,1,SLB4ever,35,18,3.329
2026-03-15 11:41:05,loss,2,,41,20,1.028
2026-03-15 11:42:20,win,1,bob,27,14,7.606
2026-03-15 11:43:18,win,2,,18,9,3.613
2026-03-15 11:43:47,win,1,Alex,13,7,1.454
2026-03-15 11:44:24,win,1,heli,15,8,9.152
2026-03-15 11:44:50,win,1,Mir,11,6,2.434
2026-03-15 11:45:46,win,2,fdsdgd,22,11,3.677
2026-03-15 11:47:21,win,1,pip,25,13,7.845
2026-03-15 11:49:03,win,1,Fab,35,18,2.236
2026-03-15 11:50:59,win,1,Make em quit,23,12,29.141
2026-03-15 12:02:31,win,1,Paul Sweeting,19,10,1.857
2026-03-15 12:04:44,win,1,,35,18,4.227
2026-03-15 12:23:33,win,1,testiq,19,10,1.100
2026-03-15 12:24:12,win,2,,18,9,1.633
2026-03-15 12:24:40,win,1,sofi,15,8,2.067
2026-03-15 12:26:25,win,2,DAHANDMAN,14,7,0.954
2026-03-15 12:27:59,win,1,Marvelous,27,14,2.097
2026-03-15 12:29:04,win,2,Yodofjtidoe,22,11,3.048
2026-03-15 12:30:15,loss,2,,41,20,0.737
2026-03-15 12:32:04,win,2,Day,40,20,1.293
2026-03-15 12:33:08,win,1,helia,25,13,3.983
